Topic,Growth,Volume,Category
ChatGPT prompts,Explosive,150000,AI Tools
Notion templates,Regular,85000,Productivity
Digital planners,Regular,120000,Organization
AI productivity tools,Explosive,95000,AI Tools
Social media templates,Regular,78000,Marketing
Budget tracking apps,Regular,62000,Finance
Remote work tools,Peaked,45000,Business
Fitness meal plans,Regular,55000,Health
Content creation workflows,Explosive,42000,Marketing
Web3 investing guide,Explosive,38000,Finance
Freelance contract templates,Regular,28000,Business
Morning routine tracker,Regular,24000,Productivity
